Model,Base Model,Family,Calibration,Evaluation Window,Rows,Positive Rows,Positive Rate,Score Type,Average Precision,ROC AUC,Brier Score,Log Loss,ECE Quantile 10,Fit Seconds,Predict Seconds,Calibration Seconds,Workflow Seconds,CV/Validation Average Precision,Best Params,Timing Notes
XGBoost[GPU allocation scorer] Calibration Base,XGBoost,gpu_boosted_tree_calibration_base,none_calibration_base,calibration,240,72,0.3,probability,0.33238689190827797,0.548693783068783,0.2514340274973384,0.8144634182056762,0.19451789039594589,8.051092153999889,0.029679049500032306,0.0,8.080771203499921,0.35418244069611204,"{""colsample_bylevel"": 0.8022086896389087, ""colsample_bytree"": 0.7469126002159203, ""gamma"": 0.0001903245747086209, ""learning_rate"": 0.15732586327999207, ""max_bin"": 966, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 0.16426398423215885, ""n_estimators"": 1997, ""reg_alpha"": 0.2715352993984658, ""reg_lambda"": 53.59745213811555, ""scale_pos_weight"": 1.5275252316519468, ""subsample"": 0.9474761165134908}",base model excludes calibration-window labels
XGBoost[GPU allocation scorer] Calibrated,XGBoost,gpu_boosted_tree_calibrated,sigmoid,calibration,240,72,0.3,probability,0.33238689190827797,0.548693783068783,0.20956589942920448,0.609776887459076,0.06349966699878373,8.051092153999889,0.009353706000069906,0.015883361000078366,8.076329221000037,0.35418244069611204,"{""colsample_bylevel"": 0.8022086896389087, ""colsample_bytree"": 0.7469126002159203, ""gamma"": 0.0001903245747086209, ""learning_rate"": 0.15732586327999207, ""max_bin"": 966, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 0.16426398423215885, ""n_estimators"": 1997, ""reg_alpha"": 0.2715352993984658, ""reg_lambda"": 53.59745213811555, ""scale_pos_weight"": 1.5275252316519468, ""subsample"": 0.9474761165134908}",sigmoid calibration fitted on calibration window
Rule[Low volatility top-k],Rule,deterministic_rule,none,calibration,240,72,0.3,raw_score,0.325308452590667,0.48222552910052907,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
TabPFN[Direct allocation scorer] Calibration Base,TabPFN,direct_tfm_calibration_base,none_calibration_base,calibration,240,72,0.3,probability,0.32424211428382627,0.5440228174603176,0.2110011164566266,0.6151592156204987,0.046510402361551934,1.3105974960001276,3.0305178950000027,0.0,4.34111539100013,,,direct TFM context excludes calibration-window labels
Rule[12M momentum top-k],Rule,deterministic_rule,none,calibration,240,72,0.3,raw_score,0.2657250783039189,0.45188492063492064,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[6M momentum top-k],Rule,deterministic_rule,none,calibration,240,72,0.3,raw_score,0.24056742481308324,0.3914517195767196,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
Rule[Risk-adjusted momentum top-k],Rule,deterministic_rule,none,calibration,240,72,0.3,raw_score,0.24045221102044834,0.38541666666666663,,,,0.0,0.0,0.0,0.0,,,deterministic rule score; not a calibrated probability
FeatureSensitivity[full][TabPFN direct],TabPFN,feature_policy_sensitivity,full,holdout,750,225,0.3,probability,0.37613124446712287,0.6040338624338625,0.2064646844007381,0.6028924190859428,0.059803288817405695,1.6232815819998905,4.131319629000018,0.0,5.754601210999908,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[ticker_ablated][TabPFN direct],TabPFN,feature_policy_sensitivity,ticker_ablated,holdout,750,225,0.3,probability,0.374863905073495,0.5980825396825395,0.20650039984422724,0.6030865426570907,0.06835619322458904,1.4300450360001378,4.026455090999889,0.0,5.456500127000027,,,direct TabPFN feature-policy sensitivity rerun
FeatureSensitivity[identity_ablated][TabPFN direct],TabPFN,feature_policy_sensitivity,identity_ablated,holdout,750,225,0.3,probability,0.3633965543886501,0.5836317460317461,0.20632862234746532,0.6028450661031065,0.044390461881955466,1.5718351630000598,4.014893311999913,0.0,5.586728474999973,,,direct TabPFN feature-policy sensitivity rerun
